S-10B
S-4D Kaldi 0 0.411 S:317, I:0, D:63
S-4D Google 0 0.561 S:237, I:0, D:174
S-4D Kaldi 1 0.422 S:267, I:0, D:57
S-4D Google 1 0.588 S:191, I:0, D:159
S-4D Kaldi 2 0.375 S:207, I:0, D:50
S-4D Google 2 0.553 S:149, I:0, D:106
S-4D Kaldi 3 0.359 S:234, I:0, D:58
S-4D Google 3 0.537 S:170, I:0, D:108
S-4D Kaldi 4 0.368 S:300, I:0, D:66
S-4D Google 4 0.532 S:223, I:0, D:132
S-4D Kaldi 5 0.378 S:276, I:0, D:48
S-4D Google 5 0.585 S:185, I:0, D:142
S-8D
S-8D Kaldi 0 0.208 S:213, I:0, D:10
S-8D Google 0 0.432 S:154, I:0, D:78
S-8D Kaldi 1 0.174 S:209, I:0, D:13
S-8D Google 1 0.345 S:167, I:0, D:57
S-8D Kaldi 2 0.182 S:360, I:0, D:24
S-8D Google 2 0.312 S:304, I:0, D:101
S-8D Kaldi 3 0.28 S:350, I:0, D:41
S-8D Google 3 0.393 S:296, I:0, D:128
S-8D Kaldi 4 0.217 S:416, I:0, D:26
S-8D Google 4 0.353 S:345, I:0, D:106
S-8D Kaldi 5 0.174 S:389, I:0, D:22
S-8D Google 5 0.319 S:322, I:0, D:87
S-13A
S-3C
S-3C Kaldi 0 0.339 S:154, I:0, D:18
S-3C Google 0 0.387 S:144, I:0, D:45
S-3C Kaldi 1 0.34 S:101, I:0, D:11
S-3C Google 1 0.406 S:92, I:0, D:38
S-3C Kaldi 2 0.289 S:266, I:0, D:47
S-3C Google 2 0.439 S:211, I:0, D:109
S-3C Kaldi 3 0.209 S:182, I:0, D:8
S-3C Google 3 0.332 S:155, I:0, D:29
S-3C Kaldi 4 0.226 S:343, I:0, D:25
S-3C Google 4 0.391 S:271, I:0, D:69
S-3C Kaldi 5 0.301 S:188, I:0, D:36
S-3C Google 5 0.402 S:162, I:0, D:68
S-12D
S-12D Kaldi 0 0.317 S:82, I:0, D:13
S-12D Google 0 0.557 S:54, I:0, D:40
S-12D Kaldi 1 0.363 S:100, I:0, D:15
S-12D Google 1 0.566 S:69, I:0, D:55
S-12D Kaldi 2 0.291 S:61, I:0, D:9
S-12D Google 2 0.455 S:48, I:0, D:23
S-12D Kaldi 3 0.326 S:60, I:0, D:12
S-12D Google 3 0.604 S:36, I:0, D:27
S-12D Kaldi 4 0.242 S:138, I:0, D:15
