S-10B
S-32D Google 2 50.584 S:127, I:0, D:88
S-32D Kaldi 3 20.979 S:226, I:0, D:25
S-32D Google 3 44.097 S:161, I:0, D:102
S-32D Kaldi 4 28.283 S:213, I:0, D:37
S-32D Google 4 58.863 S:123, I:0, D:143
S-32D Kaldi 5 23.684 S:174, I:0, D:17
S-32D Google 5 40.0 S:138, I:0, D:65
S-32D Kaldi 6 36.364 S:49, I:0, D:19
S-32D Google 6 62.025 S:31, I:0, D:38
S-32D Kaldi 7 29.63 S:76, I:0, D:21
S-32D Google 7 51.818 S:53, I:0, D:39
S-32D Kaldi 8 28.125 S:23, I:0, D:3
S-32D Google 8 50.0 S:17, I:0, D:12
S-32D Kaldi 9 31.098 S:113, I:0, D:18
S-32D Google 9 39.759 S:100, I:0, D:37
S-32D Kaldi 10 40.0 S:9, I:0, D:0
S-32D Google 10 82.353 S:3, I:0, D:10
S-32D Kaldi 11 25.862 S:45, I:2, D:0
S-32D Google 11 50.0 S:30, I:0, D:4
S-22B
S-22B Kaldi 0 25.339 S:165, I:0, D:12
S-22B Google 0 44.843 S:123, I:0, D:62
S-22B Kaldi 1 21.368 S:184, I:0, D:2
S-22B Google 1 34.746 S:154, I:0, D:48
S-22B Kaldi 2 21.649 S:456, I:0, D:16
S-22B Google 2 37.842 S:363, I:0, D:110
S-22B Kaldi 3 18.327 S:205, I:0, D:10
S-22B Google 3 37.945 S:157, I:0, D:67
S-22B Kaldi 4 23.167 S:262, I:0, D:33
S-22B Google 4 44.606 S:190, I:0, D:103
S-22B Kaldi 5 18.767 S:303, I:0, D:9
S-22B Google 5 40.533 S:223, I:0, D:93
S-22B Kaldi 6 27.273 S:24, I:0, D:5
S-22B Google 6 54.286 S:16, I:0, D:12
S-22B Kaldi 7 18.293 S:134, I:0, D:7
S-22B Google 7 28.313 S:119, I:0, D:25
S-22B Kaldi 8 18.667 S:183, I:0, D:10
S-22B Google 8 36.123 S:145, I:0, D:48
S-22B Kaldi 9 13.636 S:38, I:0, D:1
S-22B Google 9 30.435 S:32, I:0, D:11
S-22B Kaldi 10 20.297 S:161, I:0, D:6
S-22B Google 10 31.863 S:139, I:0, D:31
S-22B Kaldi 11 19.417 S:166, I:0, D:3
S-22B Google 11 41.346 S:122, I:0, D:42
S-28D
S-4D
S-4D Kaldi 0 41.078 S:317, I:0, D:63
S-4D Google 0 56.111 S:237, I:0, D:174
S-4D Kaldi 1 42.208 S:267, I:0, D:57
S-4D Google 1 58.836 S:191, I:0, D:159
S-4D Kaldi 2 37.462 S:207, I:0, D:50
S-4D Google 2 55.255 S:149, I:0, D:106
S-4D Kaldi 3 35.89 S:234, I:0, D:58
S-4D Google 3 53.678 S:170, I:0, D:108
S-4D Kaldi 4 36.842 S:300, I:0, D:66
S-4D Google 4 53.249 S:223, I:0, D:132
S-4D Kaldi 5 37.838 S:276, I:0, D:48
S-4D Google 5 58.52 S:185, I:0, D:142
S-8D
S-8D Kaldi 0 20.818 S:213, I:0, D:10
S-8D Google 0 43.173 S:154, I:0, D:78
S-8D Kaldi 1 17.391 S:209, I:0, D:13
S-8D Google 1 34.51 S:167, I:0, D:57
S-8D Kaldi 2 18.182 S:360, I:0, D:24
S-8D Google 2 31.222 S:304, I:0, D:101
S-8D Kaldi 3 27.984 S:350, I:0, D:41
S-8D Google 3 39.344 S:296, I:0, D:128
S-8D Kaldi 4 21.657 S:416, I:0, D:26
S-8D Google 4 35.272 S:345, I:0, D:106
S-8D Kaldi 5 17.41 S:389, I:0, D:22
S-8D Google 5 31.924 S:322, I:0, D:87
S-13A
S-3C
S-3C Kaldi 0 33.906 S:154, I:0, D:18
S-3C Google 0 38.723 S:144, I:0, D:45
S-3C Kaldi 1 33.987 S:101, I:0, D:11
S-3C Google 1 40.645 S:92, I:0, D:38
S-3C Kaldi 2 28.877 S:266, I:0, D:47
S-3C Google 2 43.883 S:211, I:0, D:109
S-3C Kaldi 3 20.87 S:182, I:0, D:8
S-3C Google 3 33.19 S:155, I:0, D:29
S-3C Kaldi 4 22.573 S:343, I:0, D:25
S-3C Google 4 39.101 S:271, I:0, D:69
S-3C Kaldi 5 30.112 S:188, I:0, D:36
S-3C Google 5 40.221 S:162, I:0, D:68
S-12D
S-12D Kaldi 0 31.667 S:82, I:0, D:13
S-12D Google 0 55.738 S:54, I:0, D:40
S-12D Kaldi 1 36.306 S:100, I:0, D:15
S-12D Google 1 56.604 S:69, I:0, D:55
S-12D Kaldi 2 29.07 S:61, I:0, D:9
S-12D Google 2 45.455 S:48, I:0, D:23
S-12D Kaldi 3 32.584 S:60, I:0, D:12
S-12D Google 3 60.44 S:36, I:0, D:27
S-12D Kaldi 4 24.176 S:138, I:0, D:15
S-12D Google 4 45.109 S:101, I:0, D:43
S-12D Kaldi 5 35.256 S:101, I:0, D:22
S-12D Google 5 57.595 S:67, I:0, D:53
S-18B
S-18B Kaldi 0 27.365 S:215, I:0, D:12
S-18B Google 0 41.275 S:175, I:0, D:80
S-18B Kaldi 1 19.742 S:187, I:0, D:6
S-18B Google 1 34.468 S:154, I:0, D:53
S-18B Kaldi 2 24.719 S:134, I:0, D:0
S-18B Google 2 41.111 S:106, I:0, D:40
S-18B Kaldi 3 21.6 S:196, I:0, D:6
S-18B Google 3 40.873 S:149, I:0, D:55
S-18B Kaldi 4 25.357 S:209, I:0, D:16
S-18B Google 4 32.624 S:190, I:0, D:56
S-18B Kaldi 5 14.685 S:244, I:0, D:6
S-18B Google 5 30.903 S:199, I:0, D:51
S-18B Kaldi 6 17.949 S:96, I:0, D:5
S-18B Google 6 31.092 S:82, I:0, D:19
S-18B Kaldi 7 18.593 S:162, I:0, D:5
S-18B Google 7 32.338 S:136, I:0, D:20
S-18B Kaldi 8 35.0 S:26, I:0, D:5
S-18B Google 8 50.0 S:21, I:0, D:12
S-18B Kaldi 9 70.0 S:5, I:2, D:0
S-18B Google 9 83.333 S:2, I:0, D:2
S-18B Kaldi 10 33.784 S:52, I:3, D:0
S-18B Google 10 34.211 S:50, I:0, D:20
S-18B Kaldi 11 26.087 S:119, I:0, D:2
S-18B Google 11 38.037 S:101, I:0, D:29
S-26B
S-26B Kaldi 0 27.586 S:63, I:0, D:3
S-26B Google 0 41.573 S:52, I:0, D:24
S-26B Kaldi 1 28.514 S:178, I:0, D:6
S-26B Google 1 38.645 S:154, I:0, D:61
S-26B Kaldi 2 25.448 S:208, I:0, D:4
S-26B Google 2 41.281 S:165, I:0, D:47
S-26B Kaldi 3 37.063 S:90, I:0, D:9
S-26B Google 3 51.034 S:71, I:0, D:38
S-26B Kaldi 4 22.337 S:226, I:0, D:20
S-26B Google 4 40.273 S:175, I:0, D:53
S-26B Kaldi 5 40.852 S:236, I:0, D:52
S-26B Google 5 52.369 S:191, I:0, D:90
S-26B Kaldi 6 26.667 S:132, I:0, D:11
S-26B Google 6 34.615 S:119, I:0, D:43
S-26B Kaldi 7 30.303 S:70, I:1, D:0
S-26B Google 7 32.673 S:68, I:0, D:18
S-26B Kaldi 8 24.561 S:86, I:0, D:5
S-26B Google 8 33.621 S:77, I:0, D:15
S-26B Kaldi 9 39.286 S:17, I:0, D:1
S-26B Google 9 43.333 S:17, I:0, D:5
S-26B Kaldi 10 40.217 S:55, I:0, D:8
S-26B Google 10 59.574 S:38, I:0, D:19
S-26B Kaldi 11 37.5 S:5, I:0, D:1
S-26B Google 11 70.0 S:3, I:0, D:7
S-30B
S-30B Kaldi 0 34.061 S:151, I:0, D:17
S-30B Google 0 45.887 S:125, I:0, D:67
S-30B Kaldi 1 33.129 S:109, I:0, D:2
S-30B Google 1 43.03 S:94, I:0, D:57
S-30B Kaldi 2 19.408 S:245, I:0, D:8
S-30B Google 2 26.471 S:225, I:0, D:58
S-30B Kaldi 3 20.949 S:200, I:0, D:10
S-30B Google 3 28.627 S:182, I:0, D:47
S-30B Kaldi 4 28.283 S:355, I:0, D:41
S-30B Google 4 34.205 S:327, I:0, D:111
S-30B Kaldi 5 22.288 S:394, I:0, D:33
S-30B Google 5 30.845 S:352, I:0, D:108
S-30B Kaldi 6 29.508 S:43, I:0, D:8
S-30B Google 6 33.333 S:42, I:0, D:20
S-30B Kaldi 7 25.641 S:59, I:1, D:0
S-30B Google 7 35.0 S:52, I:0, D:17
S-30B Kaldi 8 35.294 S:22, I:0, D:2
S-30B Google 8 47.222 S:19, I:0, D:16
S-30B Kaldi 9 18.868 S:43, I:0, D:3
S-30B Google 9 54.545 S:25, I:0, D:24
S-30B Kaldi 10 40.625 S:19, I:0, D:1
S-30B Google 10 70.588 S:10, I:0, D:19
S-30B Kaldi 11 33.929 S:37, I:0, D:4
S-30B Google 11 46.552 S:31, I:0, D:21
S-9A
S-2B
S-2B Kaldi 0 44.037 S:61, I:0, D:12
S-2B Google 0 59.459 S:45, I:0, D:53
S-2B Kaldi 1 56.643 S:62, I:0, D:32
S-2B Google 1 68.966 S:45, I:0, D:76
S-2B Kaldi 2 41.01 S:292, I:0, D:64
S-2B Google 2 57.746 S:210, I:0, D:140
